Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,206.000000,224.000000,204.000000,218.000000,218.000000,19360200
2018-10-02,218.000000,224.000000,208.000000,208.000000,208.000000,8766000
2018-10-03,208.000000,218.000000,208.000000,212.000000,212.000000,4479600
2018-10-04,212.000000,214.000000,204.000000,204.000000,204.000000,3305800
2018-10-05,204.000000,206.000000,202.000000,202.000000,202.000000,2172700
2018-10-08,204.000000,206.000000,202.000000,202.000000,202.000000,1857800
2018-10-09,204.000000,206.000000,202.000000,204.000000,204.000000,1851900
2018-10-10,204.000000,214.000000,204.000000,210.000000,210.000000,4990700
2018-10-11,208.000000,210.000000,202.000000,204.000000,204.000000,3009300
2018-10-12,204.000000,212.000000,204.000000,206.000000,206.000000,2838600
2018-10-15,206.000000,210.000000,204.000000,206.000000,206.000000,2521200
2018-10-16,206.000000,212.000000,206.000000,206.000000,206.000000,3277700
2018-10-17,206.000000,210.000000,204.000000,204.000000,204.000000,2284600
2018-10-18,204.000000,206.000000,202.000000,206.000000,206.000000,1018800
2018-10-19,206.000000,208.000000,204.000000,206.000000,206.000000,904300
2018-10-22,206.000000,208.000000,202.000000,204.000000,204.000000,3263100
2018-10-23,204.000000,206.000000,202.000000,202.000000,202.000000,1090900
2018-10-24,204.000000,208.000000,202.000000,202.000000,202.000000,3240900
2018-10-25,200.000000,204.000000,200.000000,202.000000,202.000000,1073800
2018-10-26,202.000000,204.000000,202.000000,202.000000,202.000000,788900
2018-10-29,202.000000,204.000000,200.000000,202.000000,202.000000,1227000
2018-10-30,202.000000,204.000000,200.000000,202.000000,202.000000,595300
2018-10-31,204.000000,206.000000,202.000000,202.000000,202.000000,1366600
2018-11-01,202.000000,204.000000,200.000000,202.000000,202.000000,3177200
2018-11-02,202.000000,204.000000,200.000000,202.000000,202.000000,4592600
2018-11-05,202.000000,204.000000,200.000000,204.000000,204.000000,1976600
2018-11-06,204.000000,204.000000,200.000000,200.000000,200.000000,3062600
2018-11-07,202.000000,206.000000,202.000000,204.000000,204.000000,3077800
2018-11-08,204.000000,206.000000,204.000000,204.000000,204.000000,670900
2018-11-09,206.000000,206.000000,202.000000,202.000000,202.000000,1885700
2018-11-12,204.000000,206.000000,200.000000,200.000000,200.000000,3061900
2018-11-13,202.000000,204.000000,199.000000,200.000000,200.000000,4965600
2018-11-14,202.000000,204.000000,200.000000,200.000000,200.000000,751900
2018-11-15,202.000000,252.000000,200.000000,238.000000,238.000000,113902000
2018-11-16,242.000000,248.000000,220.000000,222.000000,222.000000,42205900
2018-11-19,222.000000,230.000000,214.000000,224.000000,224.000000,14755400
2018-11-20,224.000000,224.000000,224.000000,224.000000,224.000000,0
2018-11-21,222.000000,232.000000,218.000000,224.000000,224.000000,10076900
2018-11-22,224.000000,226.000000,216.000000,218.000000,218.000000,6635700
2018-11-23,218.000000,220.000000,210.000000,212.000000,212.000000,6931200
2018-11-26,212.000000,236.000000,212.000000,226.000000,226.000000,27598300
2018-11-27,228.000000,240.000000,228.000000,228.000000,228.000000,22417600
2018-11-28,228.000000,232.000000,222.000000,222.000000,222.000000,4802700
2018-11-29,228.000000,230.000000,222.000000,228.000000,228.000000,4088300
2018-11-30,230.000000,230.000000,222.000000,222.000000,222.000000,4142300
2018-12-03,222.000000,230.000000,220.000000,226.000000,226.000000,5023000
2018-12-04,226.000000,228.000000,222.000000,224.000000,224.000000,3281800
2018-12-05,224.000000,230.000000,218.000000,220.000000,220.000000,5520400
2018-12-06,222.000000,226.000000,218.000000,218.000000,218.000000,4166100
2018-12-07,220.000000,224.000000,218.000000,220.000000,220.000000,2753100
2018-12-10,220.000000,222.000000,218.000000,220.000000,220.000000,1003100
2018-12-11,220.000000,222.000000,216.000000,218.000000,218.000000,4110400
2018-12-12,220.000000,220.000000,214.000000,216.000000,216.000000,5847400
2018-12-13,216.000000,236.000000,216.000000,234.000000,234.000000,21404400
2018-12-14,234.000000,238.000000,226.000000,228.000000,228.000000,7892000
2018-12-17,228.000000,240.000000,226.000000,238.000000,238.000000,7389600
2018-12-18,236.000000,240.000000,232.000000,238.000000,238.000000,3326000
2018-12-19,238.000000,250.000000,236.000000,238.000000,238.000000,18796900
2018-12-20,240.000000,242.000000,234.000000,236.000000,236.000000,7540900
2018-12-21,238.000000,242.000000,232.000000,234.000000,234.000000,8842400
2018-12-24,234.000000,234.000000,234.000000,234.000000,234.000000,0
2018-12-25,234.000000,234.000000,234.000000,234.000000,234.000000,0
2018-12-26,234.000000,246.000000,234.000000,242.000000,242.000000,7755900
2018-12-27,244.000000,278.000000,238.000000,268.000000,268.000000,56974300
2018-12-28,268.000000,298.000000,260.000000,298.000000,298.000000,78578300
2018-12-31,298.000000,298.000000,298.000000,298.000000,298.000000,0
2019-01-01,298.000000,298.000000,298.000000,298.000000,298.000000,0
2019-01-02,290.000000,300.000000,282.000000,290.000000,290.000000,21777800
2019-01-03,284.000000,318.000000,284.000000,314.000000,314.000000,63800600
2019-01-04,314.000000,318.000000,308.000000,312.000000,312.000000,11019200
2019-01-07,312.000000,318.000000,306.000000,306.000000,306.000000,11115500
2019-01-08,306.000000,324.000000,306.000000,318.000000,318.000000,26779000
2019-01-09,318.000000,322.000000,316.000000,318.000000,318.000000,8222500
2019-01-10,318.000000,326.000000,316.000000,320.000000,320.000000,13849200
2019-01-11,322.000000,328.000000,320.000000,322.000000,322.000000,8633400
2019-01-14,322.000000,322.000000,308.000000,312.000000,312.000000,14397500
2019-01-15,312.000000,312.000000,306.000000,310.000000,310.000000,9440100
2019-01-16,310.000000,318.000000,306.000000,306.000000,306.000000,16421000
2019-01-17,306.000000,312.000000,294.000000,296.000000,296.000000,32974500
2019-01-18,296.000000,300.000000,288.000000,292.000000,292.000000,13689900
2019-01-21,292.000000,300.000000,284.000000,296.000000,296.000000,16061200
2019-01-22,298.000000,322.000000,296.000000,322.000000,322.000000,63700400
